,ana,bas,doo,dva,gen,han,jun,luc,mcc,mei,mer,moi,ori,pha,rea,rei,roa,sol,som,sym,tor,tra,wid,win,zar,zen
attescort,70,-30,40,50,60,-70,-40,40,50,-40,80,60,20,80,50,80,70,60,40,-40,-50,80,-50,50,70,50
defescort,80,30,-40,20,-70,70,50,50,-30,50,80,60,50,-30,-50,50,60,-40,-60,-20,20,-70,60,60,30,50
attpoint,70,-70,80,70,50,-80,-20,70,70,-80,80,50,50,60,80,50,80,60,80,-40,-30,80,-20,70,40,50
defpoint,80,70,-50,30,-80,50,80,50,-40,80,80,80,80,-50,-50,70,60,-60,-40,80,90,-80,80,60,60,50
dual,70,-50,60,60,0,0,30,100,0,10,80,80,40,30,30,20,50,10,50,70,70,30,-30,80,70,50
